"","name","distance","lat","long"
"317","River Rd & Landy Ln",8.62320265038811,38.964992,-77.103381
"318","Rockville Metro West",21.8736553652862,39.084379,-77.146866
"319","Bethesda Metro",9.95444581124175,38.984691,-77.094537
"320","Iwo Jima Memorial/N Meade & 14th St N",3.54323950562826,38.88992,-77.071301
"321","34th & Water St NW",2.70267910050264,38.903582,-77.067786
"322","Duke St & John Carlyle St",11.6200934586913,38.804378,-77.060866
"323","Lee Hwy & N Cleveland St",4.93333789030555,38.894941,-77.09169
"324","Arlington Blvd & S George Mason Dr/NFATC",7.20158137618845,38.869442,-77.104503
"325","MLK Library/9th & G St NW",1.46594887322695,38.898404,-77.024281
"326","Lee Hwy & N Scott St",3.94985082176587,38.897612,-77.080851
"327","New Hampshire Ave & 24th St NW",1.36857135248846,38.901755,-77.051084
"328","Eisenhower Ave & Mill Race Ln",12.1186627658771,38.801111,-77.068952
"329","Potomac Greens Dr & Slaters Ln",9.54577565205049,38.82175,-77.047494
"330","Ballenger Ave & Dulaney St",11.8495117921165,38.802677,-77.063562
"331","Mount Vernon Ave & E Nelson Ave",9.85374378781937,38.820064,-77.057619
"332","Mount Vernon Ave & E Del Ray Ave",9.22682140154952,38.82595,-77.058541
"333","Monroe Ave & Leslie Ave",9.69451427326409,38.820932,-77.053096
"334","Mount Vernon Ave & Kennedy St",8.47760855707437,38.833077,-77.059821
"335","Court House Metro / 15th & N Uhle St ",4.53710782366619,38.890612,-77.084801
"336","Washington Adventist U / Flower Ave & Division St",9.40180003511941,38.986743,-77.000035
"337","6th & S Ball St",4.83416140795422,38.864702,-77.048672
"338","McKinley St & Connecticut Ave NW",7.25739304372289,38.96497,-77.075946
"339","15th & L St NW",0.413667027755802,38.90381,-77.034931
"340","17th & G St NW",1.00542515697029,38.89841,-77.039624
"341","Spring St & Second Ave",10.060057385663,38.997653,-77.034499
"342","18th & R St NW",0.741104330092352,38.912648,-77.041834
"343","S Joyce & 16th St S",5.79958163023533,38.859254,-77.063275
"344","Union Market/6th St & Neal Pl NE",3.4549104449253,38.908008,-76.996985
"345","N Nelson St & Lee Hwy",6.04563666491393,38.895929,-77.105246
"346","21st St N & N Pierce St",3.69854114099657,38.898984,-77.078317
"347","Lee Hwy & N Kirkwood Rd",5.37525573329632,38.895377,-77.09713
